level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
4,M01694,DIN9021 Washer M6x18,40.00,M00300,PRO - DIN9021 Washer M6x18 Bag,False
3,M00317,PRO - Spacer Bag - M5x19,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00795,Spacer M5x19mm,26.00,M00317,PRO - Spacer Bag - M5x19,False
3,M00318,PRO - Spacer Bag - M5x30,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00796,Spacer M5x30mm,14.00,M00318,PRO - Spacer Bag - M5x30,False
3,M00319,PRO - Spacer Bag - M6x90,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00800,Spacer M6x90mm,3.00,M00319,PRO - Spacer Bag - M6x90,False
3,M00321,PRO - Mounting Tools Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00023,Allen Key 2mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00022,"Allen Key 2,5mm",1.00,M00321,PRO - Mounting Tools Bag,False
4,M00024,Allen Key 3mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00025,Allen Key 4mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00026,Allen Key 5mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00027,Allen Key 6mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00806,Spanner 7mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00807,Spanner 8mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M00801,Spanner 10mm,1.00,M00321,PRO - Mounting Tools Bag,False
4,M01681,PRO - Acrylic Parts - L-shape Assembly Gauge,1.00,M00321,PRO - Mounting Tools Bag,True
5,M00716,"PMMA Sheet 3mm 600x400mm, Light Blue",0.02,M01681,PRO - Acrylic Parts - L-shape Assembly Gauge,False
4,M01682,PRO - Acrylic Parts - U-shape Assembly Gauge,1.00,M00321,PRO - Mounting Tools Bag,True
5,M00716,"PMMA Sheet 3mm 600x400mm, Light Blue",0.02,M01682,PRO - Acrylic Parts - U-shape Assembly Gauge,False
3,M00320,PRO - Miscellaneous Components Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00707,Nylon Cap HP-30,3.00,M00320,PRO - Miscellaneous Components Bag,False
